# t    Ek    Ep    Etot
1.10000000000000e+00 1.42499232719327e+01 -1.70349173441454e+02 -1.56099250169521e+02
1.11000000000000e+00 1.35158578175416e+01 -1.69620142481285e+02 -1.56104284663743e+02
1.12000000000000e+00 1.38531886190109e+01 -1.69975733970364e+02 -1.56122545351353e+02
1.13000000000000e+00 1.49834710760254e+01 -1.71130229303889e+02 -1.56146758227864e+02
1.14000000000000e+00 1.65274978313284e+01 -1.72696298252511e+02 -1.56168800421183e+02
1.15000000000000e+00 1.81223335342830e+01 -1.74305903184772e+02 -1.56183569650489e+02
1.16000000000000e+00 1.95005518119221e+01 -1.75690508929822e+02 -1.56189957117900e+02
1.17000000000000e+00 2.05144498247592e+01 -1.76704022974103e+02 -1.56189573149344e+02
1.18000000000000e+00 2.11194547657224e+01 -1.77304426118442e+02 -1.56184971352720e+02
1.19000000000000e+00 2.13405647267702e+01 -1.77519018285822e+02 -1.56178453559052e+02
1.20000000000000e+00 2.12395662123281e+01 -1.77411179145759e+02 -1.56171612933431e+02
1.21000000000000e+00 2.09028134808642e+01 -1.77073597230858e+02 -1.56170783749993e+02
1.22000000000000e+00 2.04017424184840e+01 -1.76567219084196e+02 -1.56165476665712e+02
1.23000000000000e+00 1.97872297876455e+01 -1.75948416896212e+02 -1.56161187108567e+02
1.24000000000000e+00 1.91115042093461e+01 -1.75269339012451e+02 -1.56157834803105e+02
1.25000000000000e+00 1.84158298989814e+01 -1.74571104437480e+02 -1.56155274538499e+02
1.26000000000000e+00 1.77319099020480e+01 -1.73885258927165e+02 -1.56153349025117e+02
1.27000000000000e+00 1.70836644323604e+01 -1.73235578630324e+02 -1.56151914197964e+02
1.28000000000000e+00 1.64889626585979e+01 -1.72639811389704e+02 -1.56150848731107e+02
1.29000000000000e+00 1.59611274898466e+01 -1.72111182932640e+02 -1.56150055442794e+02
1.30000000000000e+00 1.55101622770299e+01 -1.71659621365120e+02 -1.56149459088090e+02
1.31000000000000e+00 1.51437099946673e+01 -1.71292712948529e+02 -1.56149002953862e+02
1.32000000000000e+00 1.48677795326482e+01 -1.71016424974973e+02 -1.56148645442325e+02
1.33000000000000e+00 1.46872785528743e+01 -1.70835635712931e+02 -1.56148357160057e+02
1.34000000000000e+00 1.46063882343137e+01 -1.70754506927881e+02 -1.56148118693567e+02
1.35000000000000e+00 1.46288074784545e+01 -1.70776726582548e+02 -1.56147919104094e+02
1.36000000000000e+00 1.47578852735018e+01 -1.70905640399239e+02 -1.56147755125737e+02
1.37000000000000e+00 1.49966508677277e+01 -1.71144281922113e+02 -1.56147631054385e+02
1.38000000000000e+00 1.53477423129633e+01 -1.71495301657042e+02 -1.56147559344078e+02
1.39000000000000e+00 1.58132245283664e+01 -1.71960786497508e+02 -1.56147561969142e+02
1.40000000000000e+00 1.63942778317529e+01 -1.72541950487910e+02 -1.56147672656157e+02
1.41000000000000e+00 1.70907263781128e+01 -1.73238666508583e+02 -1.56147940130470e+02
1.42000000000000e+00 1.79003627383385e+01 -1.74048795279813e+02 -1.56148432541475e+02
1.43000000000000e+00 1.88180099387388e+01 -1.74967253136788e+02 -1.56149243198050e+02
1.44000000000000e+00 1.98342465552834e+01 -1.75984744152936e+02 -1.56150497597652e+02
1.45000000000000e+00 2.09337066754794e+01 -1.77086068029721e+02 -1.56152361354241e+02
1.46000000000000e+00 2.20928611006186e+01 -1.78247908915532e+02 -1.56155047814913e+02
1.47000000000000e+00 2.32989729106581e+01 -1.79455689355075e+02 -1.56156716444417e+02
1.48000000000000e+00 2.45036417959299e+01 -1.80665565953451e+02 -1.56161924157521e+02
1.49000000000000e+00 2.56172643719282e+01 -1.81786163755827e+02 -1.56168899383899e+02
1.50000000000000e+00 2.65495057841484e+01 -1.82727460413742e+02 -1.56177954629594e+02
1.51000000000000e+00 2.71843194301262e+01 -1.83373562318687e+02 -1.56189242888560e+02
1.52000000000000e+00 2.73798051143523e+01 -1.83582339234695e+02 -1.56202534120343e+02
1.53000000000000e+00 2.69743614827681e+01 -1.83191231994154e+02 -1.56216870511386e+02
1.54000000000000e+00 2.58040397195131e+01 -1.82034172382967e+02 -1.56230132663454e+02
1.55000000000000e+00 2.37367984454929e+01 -1.79975489032887e+02 -1.56238690587394e+02
1.56000000000000e+00 2.07272479799121e+01 -1.76964806168423e+02 -1.56237558188511e+02
1.57000000000000e+00 1.68871581908205e+01 -1.73108855110595e+02 -1.56221696919774e+02
1.58000000000000e+00 1.25502336095557e+01 -1.68739145250578e+02 -1.56188911641022e+02
1.59000000000000e+00 8.28908538596592e+00 -1.64432648742607e+02 -1.56143563356641e+02
1.60000000000000e+00 4.83594074600956e+00 -1.60934204112173e+02 -1.56098263366164e+02
1.61000000000000e+00 2.89177814846297e+00 -1.58961825420879e+02 -1.56070047272416e+02
1.62000000000000e+00 2.88345828025688e+00 -1.58954677649926e+02 -1.56071219369669e+02
1.63000000000000e+00 4.79327047269143e+00 -1.60894563823738e+02 -1.56101293351046e+02
1.64000000000000e+00 8.16565403658096e+00 -1.64312981206122e+02 -1.56147327169541e+02
1.65000000000000e+00 1.22867904855635e+01 -1.68479120860981e+02 -1.56192330375418e+02
1.66000000000000e+00 1.64275717929958e+01 -1.72651773457075e+02 -1.56224201664080e+02
1.67000000000000e+00 2.00279029437436e+01 -1.76267022727960e+02 -1.56239119784217e+02
1.68000000000000e+00 2.27683809329780e+01 -1.79007971687360e+02 -1.56239590754382e+02
1.69000000000000e+00 2.45484586730479e+01 -1.80779182300237e+02 -1.56230723627189e+02
1.70000000000000e+00 2.54201281449930e+01 -1.81637565981620e+02 -1.56217437836627e+02
1.71000000000000e+00 2.55179839020095e+01 -1.81721241548627e+02 -1.56203257646618e+02
1.72000000000000e+00 2.50058047807698e+01 -1.81196015347836e+02 -1.56190210567067e+02
1.73000000000000e+00 2.40435610366632e+01 -1.80222753249722e+02 -1.56179192213059e+02
1.74000000000000e+00 2.27709617298643e+01 -1.78941359201695e+02 -1.56170397471831e+02
1.75000000000000e+00 2.13018357738430e+01 -1.77465492883894e+02 -1.56163657110051e+02
1.76000000000000e+00 1.97245356971500e+01 -1.75883189359613e+02 -1.56158653662463e+02
1.77000000000000e+00 1.81051140884770e+01 -1.74260155525794e+02 -1.56155041437317e+02
1.78000000000000e+00 1.64913731849704e+01 -1.72643877105060e+02 -1.56152503920089e+02
1.79000000000000e+00 1.49168153816224e+01 -1.71067590552962e+02 -1.56150775171339e+02
1.80000000000000e+00 1.34040788332174e+01 -1.69553721553128e+02 -1.56149642719911e+02
1.81000000000000e+00 1.19677421943273e+01 -1.68116684399248e+02 -1.56148942204921e+02
1.82000000000000e+00 1.06165263317674e+01 -1.66765075574638e+02 -1.56148549242870e+02
1.83000000000000e+00 9.35497806517759e+00 -1.65503349235006e+02 -1.56148371169828e+02
1.84000000000000e+00 8.18473423802030e+00 -1.64333074002610e+02 -1.56148339764590e+02
1.85000000000000e+00 7.10545771633714e+00 -1.63253862993348e+02 -1.56148405277010e+02
1.86000000000000e+00 6.11552287327460e+00 -1.62264054599451e+02 -1.56148531726176e+02
1.87000000000000e+00 5.21251286336538e+00 -1.61361206156696e+02 -1.56148693293331e+02
1.88000000000000e+00 4.39357715744831e+00 -1.60542448758808e+02 -1.56148871601360e+02
1.89000000000000e+00 3.65568627491982e+00 -1.59804739961262e+02 -1.56149053686342e+02
1.90000000000000e+00 2.99581147333695e+00 -1.59145041970333e+02 -1.56149230496996e+02
1.91000000000000e+00 2.41105006073651e+00 -1.58560445851581e+02 -1.56149395790844e+02
1.92000000000000e+00 1.89871161075190e+00 -1.58048256936387e+02 -1.56149545325635e+02
1.93000000000000e+00 1.45637632122889e+00 -1.57606052590406e+02 -1.56149676269177e+02
1.94000000000000e+00 1.08193374985581e+00 -1.57231720520173e+02 -1.56149786770317e+02
1.95000000000000e+00 7.73607930771432e-01 -1.56923483579457e+02 -1.56149875648685e+02
1.96000000000000e+00 5.29973224684946e-01 -1.56679915397049e+02 -1.56149942172364e+02
1.97000000000000e+00 3.49964028410882e-01 -1.56499949929567e+02 -1.56149985901156e+02
1.98000000000000e+00 2.32880551099169e-01 -1.56382887130747e+02 -1.56150006579648e+02
1.99000000000000e+00 1.78392164795293e-01 -1.56328396234071e+02 -1.56150004069276e+02
2.00000000000000e+00 1.86539287578169e-01 -1.56336517600096e+02 -1.56149978312518e+02
2.01000000000000e+00 2.57734303855390e-01 -1.56407663629434e+02 -1.56149929325579e+02
2.02000000000000e+00 3.92761623012612e-01 -1.56542618841921e+02 -1.56149857218908e+02
2.03000000000000e+00 5.92776583845793e-01 -1.56742538831530e+02 -1.56149762247684e+02
2.04000000000000e+00 8.59302488200015e-01 -1.57008947385700e+02 -1.56149644897500e+02
2.05000000000000e+00 1.19422455007181e+00 -1.57343730564179e+02 -1.56149506014107e+02
2.06000000000000e+00 1.59977892592214e+00 -1.57749125916481e+02 -1.56149346990559e+02
2.07000000000000e+00 2.07853418582640e+00 -1.58227704216745e+02 -1.56149170030919e+02
2.08000000000000e+00 2.63336151315604e+00 -1.58782340030610e+02 -1.56148978517454e+02
2.09000000000000e+00 3.26738847740710e+00 -1.59416165995868e+02 -1.56148777518461e+02
2.10000000000000e+00 3.98392927127610e+00 -1.60132503758901e+02 -1.56148574487625e+02
2.11000000000000e+00 4.78638165553261e+00 -1.60934761879373e+02 -1.56148380223840e+02
2.12000000000000e+00 5.67807727461514e+00 -1.61826287458503e+02 -1.56148210183888e+02
2.13000000000000e+00 6.66206718823033e+00 -1.62810153457979e+02 -1.56148086269749e+02
2.14000000000000e+00 7.74081803857914e+00 -1.63888857285929e+02 -1.56148039247350e+02
2.15000000000000e+00 8.91578581869018e+00 -1.65063897809722e+02 -1.56148111991032e+02
2.16000000000000e+00 1.01868233168820e+01 -1.66335187096215e+02 -1.56148363779333e+02
2.17000000000000e+00 1.15513637456049e+01 -1.67700239618012e+02 -1.56148875872408e+02
2.18000000000000e+00 1.30033070866944e+01 -1.69153065623238e+02 -1.56149758536543e+02
2.19000000000000e+00 1.45315187599563e+01 -1.70682678222178e+02 -1.56151159462221e+02
2.20000000000000e+00 1.61178363193738e+01 -1.72271109309923e+02 -1.56153272990549e+02
2.21000000000000e+00 1.77344778849774e+01 -1.73890826323400e+02 -1.56156348438423e+02
2.22000000000000e+00 1.93407738595050e+01 -1.75501467494075e+02 -1.56160693634570e+02
2.23000000000000e+00 2.08792347024852e+01 -1.77045900572791e+02 -1.56166665870306e+02
2.24000000000000e+00 2.22711803855389e+01 -1.78445816434111e+02 -1.56174636048572e+02
2.25000000000000e+00 2.34125836328409e+01 -1.79597486197248e+02 -1.56184902564407e+02
2.26000000000000e+00 2.41715438080486e+01 -1.80369065025444e+02 -1.56197521217395e+02
